sheet,row,sheet_code,sheet_name,amount,code_norm,mapped_db_code,mapped_db_name,db_type,db_category,match_status,match_basis,similarity_score,opening_method,decision_note
NERACA MEI,19,1-125,Persediaan Bahan Penolong,3650431.74,1-125,1-125,Sewa Dibayar Dimuka,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,20,1-126,Persediaan Barang Jadi,308169440.86,1-126,1-126,Persediaan Hadiah,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,INVENTORY_MODULE,
NERACA MEI,21,1-127,Persediaan Affal Rafia,0.0,1-127,1-127,Persediaan Bahan Penolong,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,INVENTORY_MODULE,
NERACA MEI,22,1-130,Persediaan Bahan Baku,415619552.22,1-130,1-130,Persediaan Bahan Baku Rafia,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,INVENTORY_MODULE,
NERACA MEI,23,1-131,Persediaan Bahan Kemasan,118213685.54,1-131,1-131,Persediaan Bahan Kemasan Rafia,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,INVENTORY_MODULE,
NERACA MEI,24,1-132,Persediaan Barang dalam Proses,26546600.12,1-132,1-132,Persediaan Barang dalam Proses Rafia,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,INVENTORY_MODULE,
NERACA MEI,25,1-133,Uang Muka ke Supplier,60917215.54,1-133,1-133,Uang Muka ke Supplier,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,26,1-134,Persediaan Alat Tulis,4994322.62,1-134,1-134,Persediaan Alat Tulis,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,INVENTORY_MODULE,
NERACA MEI,28,1-211,Tanah,0.0,1-211,1-211,Tanah,ASSET,FIXED_ASSET,MAPPED,DIRECT_CODE,1.0,FIXED_ASSET_MODULE,
NERACA MEI,29,1-212,Bangunan,386478000.0,1-212,1-212b,Bangunan Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,30,1-213,Mesin,2201648880.0,1-213,1-213b,Mesin Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,31,1-214,Kendaraan,27000000.0,1-214,1-214,Kendaraan,ASSET,FIXED_ASSET,MAPPED,DIRECT_CODE,1.0,FIXED_ASSET_MODULE,
NERACA MEI,32,1-215,Peralatan Kantor,98993008.99,1-215,1-215b,Peralatan Kantor Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,33,1-216,Akum. Penyusutan Bangunan,-95501580.75,1-216,1-216b,Akum. Penyusutan Bangunan Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,34,1-217,Akum. Penyusutan Mesin,-921353337.17,1-217,1-217b,Akum. Penyusutan Mesin Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,35,1-218,Akum. Penyusutan Kendaraan,-843750.0,1-218,1-218,Akum. Penyusutan Kendaraan,ASSET,FIXED_ASSET,MAPPED,DIRECT_CODE,1.0,FIXED_ASSET_MODULE,
NERACA MEI,36,1-219,Akum. Penyusutan Peralatan Kantor,-84807798.4,1-219,1-219b,Akum. Penyusutan Peralatan Kantor Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,41,2-110,Hutang Dagang,1619674261.42,2-110,2-110b,Hutang Dagang Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,AP_MODULE,
NERACA MEI,44,2-120,PPN Keluaran,667916028.48,2-120,2-120b,PPN Keluaran Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,45,2-130,PPN Masukan,0.00,2-130,2-130b,PPN Masukan Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,46,2-131,Hutang Pajak,0.0,2-131,2-131b,Hutang Pajak Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,47,2-140,Hutang Lancar Lainnya,0.00,2-140,2-140b,Hutang Lancar Lainnya Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,50,2-210,Hutang Jangka Panjang,0.0,2-210,2-210b,Hutang Jangka Panjang Rafia,LIABILITY,LONG_TERM_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,51,2-390,Hutang ke Nugroho Pramono,681000000.0,2-390,2-390,Hutang ke Nugroho Pramono,LIABILITY,LONG_TERM_LIABILITY,APPROVED_AS_IS,DIRECT_CODE,1.0,REVIEW_REQUIRED_OWNER_LIABILITY,Tetap sebagai hutang owner/related party sesuai sheet.
NERACA MEI,53,3-100b,Modal Saham,0.0,3-100,3-100b,Modal Saham Rafia,EQUITY,CAPITAL,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,54,3-201b,Laba Tahun Berjalan,172978343.45,3-201,3-200b,Laba Ditahan Rafia,EQUITY,RETAINED_EARNINGS,OVERRIDE_APPROVED,SUGGESTED,0.645,JOURNAL_ONLY,Current-year earnings lama diparkir ke retained earnings saat migrasi opening.
NERACA MEI,55,3-200b,Laba Ditahan,355473088.24,3-200,3-200b,Laba Ditahan Rafia,EQUITY,RETAINED_EARNINGS,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
