sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction,normalizedNameKey,matchedExistingNameByNormalizedKey,refinedIssueTypes,refinedSuggestedAction,finalBucket,finalSku,finalName,finalPrimaryUnit,finalAction,finalCategory
12,"Rafia Bening Super 0,75 (6)",RBS0760,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,,,,,Rafia Bening Super 0.75 (6),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,rafia bening super 0.75 (6),Rafia Bening Super 0.75 (6),NAME_FORMAT_DOT_TYPO,TREAT_AS_EXISTING_NAME_TYPO,SAFE_EXISTING_UPDATE,RBS0760,"Rafia Bening Super 0,75 (6)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
13,"Rafia Bening Super 0,8 (10)",RBS0810,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,,,,,Rafia Bening Super 0.8 (10),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,rafia bening super 0.8 (10),Rafia Bening Super 0.8 (10),NAME_FORMAT_DOT_TYPO,TREAT_AS_EXISTING_NAME_TYPO,SAFE_EXISTING_UPDATE,RBS0810,"Rafia Bening Super 0,8 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
14,"Rafia Bening Super 0,95 (10)",RBS9510,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,,,,,Rafia Bening Super 0.95 (10),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,rafia bening super 0.95 (10),Rafia Bening Super 0.95 (10),NAME_FORMAT_DOT_TYPO,TREAT_AS_EXISTING_NAME_TYPO,SAFE_EXISTING_UPDATE,RBS9510,"Rafia Bening Super 0,95 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
15,Rafia Bening Super 1 (10),RBS1010,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,Rafia Bening Super 1 (10),RBS1010,BAL,Produk FINISHED GOOD Rafia,Rafia Bening Super 1 (10),,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia bening super 1 (10),Rafia Bening Super 1 (10),NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RBS1010,Rafia Bening Super 1 (10),BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
16,Rafia Bening Super Jasa,RBJ0000,Kg,,4-108 Penjualan Rafia Maklon,BARANG JADI,KG,Rafia Bening Super Jasa,RBJ0000,KG,Produk FINISHED GOOD Rafia,Rafia Bening Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia bening super jasa,Rafia Bening Super Jasa,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RBJ0000,Rafia Bening Super Jasa,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
17,Rafia Biru KW,RRK0000,Kg,,4-104 Penjualan Rafia Kw,BARANG JADI,KG,Rafia Biru KW,RRK0000,KG,Produk FINISHED GOOD Rafia,Rafia Biru KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru kw,Rafia Biru KW,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRK0000,Rafia Biru KW,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
18,"Rafia Biru KW 0,5 (10)",RRK0510,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Biru KW 0,5 (10)",RRK0510,BAL,Produk FINISHED GOOD Rafia,"Rafia Biru KW 0,5 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru kw 0.5 (10),"Rafia Biru KW 0,5 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRK0510,"Rafia Biru KW 0,5 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
19,Rafia Biru KW 1 (10),RRK0110,Bal,,4-104 Penjualan Rafia Kw,BARANG JADI,BAL,Rafia Biru KW 1 (10),RRK0110,BAL,Produk FINISHED GOOD Rafia,Rafia Biru KW 1 (10),,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru kw 1 (10),Rafia Biru KW 1 (10),NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRK0110,Rafia Biru KW 1 (10),BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
20,Rafia Biru KW Super,RRW0000,Kg,,4-116 Penjualan Rafia Kw Super,BARANG JADI,KG,Rafia Biru KW Super,RRW0000,KG,Produk FINISHED GOOD Rafia,Rafia Biru KW Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru kw super,Rafia Biru KW Super,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRW0000,Rafia Biru KW Super,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
21,Rafia Biru Super,RRS0000,Kg,,4-102 Penjualan Rafia Super,BARANG JADI,KG,Rafia Biru Super,RRS0000,KG,Produk FINISHED GOOD Rafia,Rafia Biru Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru super,Rafia Biru Super,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRS0000,Rafia Biru Super,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
22,"Rafia Biru Super 0,4 (10)",RRS0410,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Biru Super 0,4 (10)",RRS0410,BAL,Produk FINISHED GOOD Rafia,"Rafia Biru Super 0,4 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru super 0.4 (10),"Rafia Biru Super 0,4 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRS0410,"Rafia Biru Super 0,4 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
23,"Rafia Biru Super 0,75 (6)",RRS7560,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Biru Super 0,75 (6)",RRS7560,BAL,Produk FINISHED GOOD Rafia,"Rafia Biru Super 0,75 (6)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru super 0.75 (6),"Rafia Biru Super 0,75 (6)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRS7560,"Rafia Biru Super 0,75 (6)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
24,"Rafia Biru Super 0,7 (6)",RRS0760,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,Rafia Biru Super 0.7 (6),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,rafia biru super 0.7 (6),Rafia Biru Super 0.7 (6),NAME_FORMAT_DOT_TYPO,TREAT_AS_EXISTING_NAME_TYPO,SAFE_EXISTING_UPDATE,RRS0760,"Rafia Biru Super 0,7 (6)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
25,"Rafia Biru Super 0,8 (10)",RRS0810,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,Rafia Biru Super 0.8 (10),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,rafia biru super 0.8 (10),Rafia Biru Super 0.8 (10),NAME_FORMAT_DOT_TYPO,TREAT_AS_EXISTING_NAME_TYPO,SAFE_EXISTING_UPDATE,RRS0810,"Rafia Biru Super 0,8 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
26,Rafia Biru Super 1 (10),RRS1010,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,Rafia Biru Super 1 (10),RRS1010,BAL,Produk FINISHED GOOD Rafia,Rafia Biru Super 1 (10),,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia biru super 1 (10),Rafia Biru Super 1 (10),NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RRS1010,Rafia Biru Super 1 (10),BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
27,Rafia BS,R000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Rafia BS,R000000,KG,Produk FINISHED GOOD Rafia,Rafia BS,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia bs,Rafia BS,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,R000000,Rafia BS,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
28,Rafia Dop KW Super,RDW0000,Kg,,4-116 Penjualan Rafia Kw Super,BARANG JADI,KG,Rafia Dop KW Super,RDW0000,KG,Produk FINISHED GOOD Rafia,Rafia Dop KW Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia dop kw super,Rafia Dop KW Super,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RDW0000,Rafia Dop KW Super,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
29,Rafia Hijau KW,RJK0000,Kg,,4-104 Penjualan Rafia Kw,BARANG JADI,KG,Rafia Hijau KW,RJK0000,KG,Produk FINISHED GOOD Rafia,Rafia Hijau KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau kw,Rafia Hijau KW,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJK0000,Rafia Hijau KW,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
30,"Rafia Hijau KW 0,5 (10)",RJK0510,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hijau KW 0,5 (10)",RJK0510,BAL,Produk FINISHED GOOD Rafia,"Rafia Hijau KW 0,5 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau kw 0.5 (10),"Rafia Hijau KW 0,5 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJK0510,"Rafia Hijau KW 0,5 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
31,Rafia Hijau KW 1 (10),RJK0110,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,Rafia Hijau KW 1 (10),RJK0110,BAL,Produk FINISHED GOOD Rafia,Rafia Hijau KW 1 (10),,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau kw 1 (10),Rafia Hijau KW 1 (10),NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJK0110,Rafia Hijau KW 1 (10),BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
32,Rafia Hijau KW Super,RJW0000,Kg,,4-116 Penjualan Rafia Kw Super,BARANG JADI,KG,Rafia Hijau KW Super,RJW0000,KG,Produk FINISHED GOOD Rafia,Rafia Hijau KW Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau kw super,Rafia Hijau KW Super,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJW0000,Rafia Hijau KW Super,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
33,Rafia Hijau Super,RJS0000,Kg,,4-102 Penjualan Rafia Super,BARANG JADI,KG,Rafia Hijau Super,RJS0000,KG,Produk FINISHED GOOD Rafia,Rafia Hijau Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau super,Rafia Hijau Super,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJS0000,Rafia Hijau Super,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
34,"Rafia Hijau Super 0,75 (6)",RJS7560,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hijau Super 0,75 (6)",RJS7560,BAL,Produk FINISHED GOOD Rafia,"Rafia Hijau Super 0,75 (6)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau super 0.75 (6),"Rafia Hijau Super 0,75 (6)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJS7560,"Rafia Hijau Super 0,75 (6)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
35,"Rafia Hijau Super 0,95 (10)",RJS9510,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hijau Super 0,95 (10)",RJS9510,BAL,Produk FINISHED GOOD Rafia,"Rafia Hijau Super 0,95 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau super 0.95 (10),"Rafia Hijau Super 0,95 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJS9510,"Rafia Hijau Super 0,95 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
36,"Rafia Hijau Super 0,7 (6)",RJS0760,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,Rafia Hijau Super 0.7 (6),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,rafia hijau super 0.7 (6),Rafia Hijau Super 0.7 (6),NAME_FORMAT_DOT_TYPO,TREAT_AS_EXISTING_NAME_TYPO,SAFE_EXISTING_UPDATE,RJS0760,"Rafia Hijau Super 0,7 (6)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
37,"Rafia Hijau Super 0,8 (10)",RJS0810,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,Rafia Hijau Super 0.8 (10),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,rafia hijau super 0.8 (10),Rafia Hijau Super 0.8 (10),NAME_FORMAT_DOT_TYPO,TREAT_AS_EXISTING_NAME_TYPO,SAFE_EXISTING_UPDATE,RJS0810,"Rafia Hijau Super 0,8 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
38,Rafia Hijau Super 1 (10),RJS1010,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,Rafia Hijau Super 1 (10),RJS1010,BAL,Produk FINISHED GOOD Rafia,Rafia Hijau Super 1 (10),,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau super 1 (10),Rafia Hijau Super 1 (10),NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJS1010,Rafia Hijau Super 1 (10),BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
39,Rafia Hijau Super Jasa,RHSJ0000,Kg,,4-108 Penjualan Rafia Maklon,BARANG JADI,KG,Rafia Hijau Super Jasa,RHSJ0000,KG,Produk FINISHED GOOD Rafia,Rafia Hijau Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau super jasa,Rafia Hijau Super Jasa,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHSJ0000,Rafia Hijau Super Jasa,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
40,Rafia Hijau Tampar,RJT0000,Kg,,4-107 Penjualan Rafia Tampar,BARANG JADI,KG,Rafia Hijau Tampar,RJT0000,KG,Produk FINISHED GOOD Rafia,Rafia Hijau Tampar,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hijau tampar,Rafia Hijau Tampar,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RJT0000,Rafia Hijau Tampar,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
41,Rafia Hitam KW,RHK0000,Kg,,4-104 Penjualan Rafia Kw,BARANG JADI,KG,Rafia Hitam KW,RHK0000,KG,Produk FINISHED GOOD Rafia,Rafia Hitam KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hitam kw,Rafia Hitam KW,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHK0000,Rafia Hitam KW,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
42,"Rafia Hitam KW 0,1 (10)",RHK0110,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hitam KW 0,1 (10)",RHK0110,BAL,Produk FINISHED GOOD Rafia,"Rafia Hitam KW 0,1 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hitam kw 0.1 (10),"Rafia Hitam KW 0,1 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHK0110,"Rafia Hitam KW 0,1 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
43,"Rafia Hitam Kw 0,2 (10)",RHK0210,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hitam Kw 0,2 (10)",RHK0210,BAL,Produk FINISHED GOOD Rafia,"Rafia Hitam Kw 0,2 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hitam kw 0.2 (10),"Rafia Hitam Kw 0,2 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHK0210,"Rafia Hitam Kw 0,2 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
44,"Rafia Hitam KW 0,5 (10)",RHK0510,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hitam KW 0,5 (10)",RHK0510,BAL,Produk FINISHED GOOD Rafia,"Rafia Hitam KW 0,5 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hitam kw 0.5 (10),"Rafia Hitam KW 0,5 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHK0510,"Rafia Hitam KW 0,5 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
45,"Rafia Hitam KW 0,5 (20)",RHK0520,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hitam KW 0,5 (20)",RHK0520,BAL,Produk FINISHED GOOD Rafia,"Rafia Hitam KW 0,5 (20)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hitam kw 0.5 (20),"Rafia Hitam KW 0,5 (20)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHK0520,"Rafia Hitam KW 0,5 (20)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
46,"Rafia Hitam KW 0,65 (10)",RHK6510,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hitam KW 0,65 (10)",RHK6510,BAL,Produk FINISHED GOOD Rafia,"Rafia Hitam KW 0,65 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hitam kw 0.65 (10),"Rafia Hitam KW 0,65 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHK6510,"Rafia Hitam KW 0,65 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
47,"Rafia Hitam KW 0,7 (10)",RHK0710,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Hitam KW 0,7 (10)",RHK0710,BAL,Produk FINISHED GOOD Rafia,"Rafia Hitam KW 0,7 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia hitam kw 0.7 (10),"Rafia Hitam KW 0,7 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RHK0710,"Rafia Hitam KW 0,7 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
